word,frequency
volume,13
utterly,13
using,13
Up,13
True,13
tore,13
token,13
tiller,13
throw,13
theirs,13
sweep,13
swear,13
swallowed,13
superior,13
sunrise,13
subsequent,13
strangers,13
stout,13
Still,13
sprang,13
spoken,13
split,13
sooner,13
slightly,13
size,13
sinking,13
signs,13
shoulders,13
shook,13
sense,13
send,13
season,13
savages,13
rock,13
roared,13
resolved,13
remarkable,13
receiving,13
quantity,13
pulled,13
prove,13
proceed,13
probably,13
private,13
practical,13
ponderous,13
planted,13
piled,13
partly,13
Nothing,13
nations,13
Mrs,13
moving,13
mounted,13
money,13
merchant,13
lookouts,13
London,13
lively,13
lived,13
lighted,13
leaned,13
lead,13
latitude,13
lads,13
ladies,13
keeping,13
Jonahs,13
idol,13
horrible,13
honest,13
hit,13
herd,13
hail,13
greater,13
Great,13
gliding,13
German,13
gay,13
gain,13
forms,13
forming,13
flank,13
fingers,13
fathoms,13
extreme,13
erect,13
Ere,13
Elijah,13
elephants,13
elephant,13
eager,13
DoughBoy,13
dost,13
declared,13
dangerous,13
crown,13
cries,13
corpse,13
cool,13
conceit,13
city,13
circles,13
chap,13
chanced,13
carved,13
calmly,13
buried,13
Bunger,13
bread,13
birds,13
big,13
belonged,13
additional,13
written,12
wreck,12
wonders,12
whalebone,12
vapour,12
usage,12
unusual,12
tub,12
trowsers,12
touched,12
tossing,12
toil,12
Therefore,12
THAT,12
tapering,12
symbol,12
swinging,12
sweeping,12
summer,12
strain,12
stars,12
speed,12
spars,12
sounds,12
solemn,12
slain,12
sights,12
settled,12
secure,12
scarce,12
sadly,12
ropes,12
resting,12
receive,12
reaching,12
rapid,12
quiet,12
prophet,12
prey,12
presently,12
peril,12
pair,12
painted,12
ON,12
offered,12
oarsman,12
notice,12
noise,12
naught,12
naturally,12
Nantucketers,12
named,12
naked,12
murmured,12
motions,12
moody,12
meanwhile,12
manned,12
mankind,12
malice,12
loud,12
lonely,12
Line,12
lesson,12
leaped,12
lean,12
lantern,12
landed,12
knife,12
isles,12
interior,12
insult,12
individual,12
III,12
Id,12
howling,12
hither,12
heaved,12
happens,12
handle,12
Had,12
Guernseyman,12
greatest,12
ghost,12
force,12
fool,12
fitted,12
fearful,12
falling,12
external,12
exceeding,12
enchanted,12
dying,12
dumb,12
dread,12
draw,12
doubtless,12
dinner,12
descend,12
deal,12
dam,12
crossed,12
countenance,12
Cook,12
contrast,12
contrary,12
conscience,12
connected,12
conduct,12
comrades,12
Coffin,12
centuries,12
caused,12
catch,12
Captains,12
calls,12
bursting,12
bowels,12
boots,12
bird,12
bent,12
beings,12
begin,12
becomes,12
bears,12
barbs,12
arrived,12
ambergris,12
afloat,12
AD,12
wore,11
wine,11
Will,11
wicked,11
whispered,11
wharf,11
welded,11
warp,11
waist,11
voyages,11
vocation,11
visit,11
Very,11
vengeance,11
valuable,11
upright,11
unearthly,11
Tun,11
tongue,11
terms,11
temporary,11
swells,11
subtle,11
strongly,11
stream,11
straits,11
straightway,11
steadily,11
stay,11
spouting,11
spiritual,11
social,11
snowwhite,11
snow,11
smells,11
smell,11
smaller,11
significant,11
shipped,11
shipmate,11
seven,11
setting,11
seizing,11
seeking,11
repose,11
reference,11
reasons,11
prolonged,11
Polar,11
pieces,11
piece,11
picked,11
pick,11
Perseus,11
perpendicular,11
peculiarities,11
Or,11
Old,11
oclock,11
obvious,11
observe,11
objects,11
noticed,11
Nay,11
narrow,11
NANTUCKET,11
names,11
mountain,11
mother,11
mostly,11
month,11
monomaniac,11
mixed,11
mist,11
lovely,11
loaded,11
leviathans,11
letters,11
lengthwise,11
leading,11
ladder,11
knowledge,11
islands,11
involuntarily,11
invariably,11
intended,11
infallibly,11
indispensable,11
indifferent,11
including,11
included,11
image,11
horses,11
horse,11
horn,11
hoops,11
hoisting,11
hill,11
herds,11
Hark,11
grim,11
grave,11
gloom,11
glancing,11
glad,11
freely,11
foul,11
forget,11
floats,11
Fleece,11
firmly,11
fins,11
fifteen,11
field,11
features,11
fate,11
fat,11
fastened,11
fashion,11
family,11
faith,11
experienced,11
excellent,11
elsewhere,11
elevated,11
element,11
eating,11
eat,11
early,11
ear,11
drowned,11
downwards,11
double,11
dived,11
direct,11
didst,11
desperate,11
desired,11
den,11
demanded,11
cursed,11
crazy,11
cover,11
convenient,11
contact,11
concluding,11
commotion,11
commander,11
clouds,11
chains,11
central,11
carpenters,11
care,11
capstan,11
canal,11
calling,11
burning,11
burn,11
broke,11
breakfast,11
blessed,11
blackness,11
bench,11
belong,11
beholding,11
begins,11
barbaric,11
baleen,11
awe,11
Avast,11
ashes,11
appearance,11
Among,11
America,11
advanced,11
yea,10
wrong,10
Would,10
whaleships,10
West,10
wave,10
Was,10
wanting,10
walls,10
vital,10
venerable,10
velocity,10
valiant,10
vague,10
uplifted,10
tow,10
Time,10
tied,10
throwing,10
threw,10
thither,10
Think,10
term,10
Tell,10
swell,10
surprise,10
supplied,10
superstitious,10
summit,10
stump,10
striving,10
stripped,10
strip,10
stricken,10
stranded,10
steak,10
stairs,10
spirits,10
spell,10
sounding,10
smallest,10
sliding,10
skill,10
singing,10
simple,10
silver,10
shut,10
shroud,10
shortly,10
Shall,10
service,10
served,10
sending,10
rods,10
rib,10
retained,10
replied,10
removed,10
remotest,10
remote,10
Ramadan,10
quest,10
Queen,10
Quaker,10
pursued,10
Pull,10
prairie,10
pots,10
possession,10
Porpoise,10
pocket,10
plan,10
pitched,10
perch,10
pausing,10
party,10
papers,10
paid,10
odd,10
occurred,10
occasion,10
Next,10
news,10
Never,10
nearest,10
nailed,10
mysterious,10
murderous,10
murder,10
mount,10
mothers,10
mortals,10
moreover,10
Moreover,10
mood,10
monstrous,10
mildly,10
midst,10
meat,10
mat,10
Manxman,10
luck,10
Long,10
Lima,10
lift,10
Leviathans,10
leap,10
landsmen,10
KingPost,10
kick,10
jumped,10
John,10
Japanese,10
Japan,10
involved,10
inferior,10
impressions,10
ignorant,10
ignorance,10
hovering,10
host,10
hook,10
hints,10
hideous,10
helmsman,10
Heaven,10
hearing,10
headsman,10
grinning,10
gradually,10
glimpse,10
gazed,10
FROM,10
FOR,10
finger,10
fierce,10
fathers,10
father,10
Father,10
faint,10
experience,10
exclaimed,10
evil,10
Every,10
event,10
Even,10
escaped,10
entitled,10
endure,10
east,10
earnest,10
dust,10
driven,10
dream,10
domestic,10
divided,10
direful,10
Didnt,10
derived,10
Derick,10
depths,10
dense,10
curiosity,10
concern,10
compared,10
coiled,10
clothes,10
closed,10
charge,10
changed,10
century,10
carefully,10
canoe,10
bringing,10
brief,10
boldly,10
block,10
blinds,10
Bible,10
berth,10
beating,10
backs,10
aught,10
ask,10
articles,10
armed,10
Are,10
appeared,10
appalling,10
ALL,10
afternoon,10
youth,9
yesterday,9
Ye,9
wounded,9
worship,9
worn,9
woods,9
women,9
withstand,9
winter,9
wing,9
wilt,9
wildly,9
whereby,9
wet,9
weeks,9
wear,9
watches,9
vivid,9
violently,9
vigorous,9
usual,9
unspeakable,9
uncertain,9
twice,9
tumultuous,9
tubs,9
trouble,9
tribe,9
tremendous,9
trees,9
TownHo,9
tower,9
thrusting,9
throughout,9
Three,9
Those,9
THIS,9
thank,9
temporarily,9
tempest,9
tells,9
taste,9
task,9
system,9
sunset,9
suns,9
sum,9
sufficiently,9
succeeded,9
stuck,9
stretched,9
strained,9
stone,9
stiff,9
steering,9
steer,9
statement,9
square,9
spouthole,9
spent,9
spend,9
spear,9
sparkling,9
spar,9
sole,9
soil,9
softly,9
smooth,9
slow,9
skies,9
singular,9
simply,9
sick,9
shuddering,9
shoulder,9
serious,9
sensible,9
seemingly,9
Seeing,9
seaman,9
score,9
scenes,9
scattered,9
sand,9
Samuel,9
sad,9
rows,9
roaring,9
reserved,9
remaining,9
relieved,9
regard,9
reel,9
recognised,9
reading,9
rail,9
rage,9
rack,9
Quohog,9
public,9
properly,9
projecting,9
presumed,9
preliminary,9
poles,9
plunged,9
pleased,9
pity,9
pirates,9
pipes,9
pious,9
persons,9
path,9
particulars,9
pacing,9
paced,9
opened,9
OCTAVO,9
occupied,9
occasional,9
nervous,9
needles,9
naturalists,9
mystical,9
mystery,9
movement,9
mouths,9
moored,9
mistake,9
mercy,9
meeting,9
Mediterranean,9
Mapple,9
malicious,9
magic,9
loss,9
lodged,9
lip,9
limbs,9
lights,9
lifting,9
lid,9
levelled,9
letter,9
led,9
leagues,9
lashed,9
larger,9
kicked,9
jets,9
intolerable,9
intently,9
influence,9
Indians,9
independent,9
incredible,9
inclined,9
imperial,9
hum,9
horror,9
Hold,9
hereafter,9
